NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
148,12.6,9.8,14.4,14.4,13.6,10.2,10.4,7.6,4,9.8,2.6,9.8,5.6,8.2,5,5.8,4.6,11.8,3.8,4.8,2
149,11,11.2,13,16,13.4,12,6.8,6,8.4,9,4.8,9.4,4.6,7.8,5,2.8,4,11.2,4,2.2,4.2
150,12.4,9.6,9.2,15.56,9.4,9.2,7,8.4,4.8,7,5.2,6,5,5,4,4.8,2.2,10.36,3.4,2,4.2
151,12.3,11,12.6,16.2,9.8,12.4,7.8,7.6,6,10,4.8,7,5,9.2,4.7,5,2.6,11.4,2.8,2.8,3.2
152,13,9.1,12.5,14.6,9.9,16.6,6.7,9,5.8,8.4,4.6,6.5,4.2,11,4,3.3,4.1,10,3.4,2.5,5.6
153,12.6,10,13.4,12.8,11.2,11.4,5.8,9.4,6.8,9,3.8,7.4,3.4,8.2,3.2,3.2,4.4,9,3.8,2.4,3.2
154,11,11.4,11,12,10.6,10.2,5.2,8,7.2,8,3.8,8,4.2,7.2,3,4.2,3,8.2,2.6,1,3
155,13.6,9.6,14.8,13.2,9.6,11.4,7.2,8.8,6,9.8,4.4,5.6,5.6,7,4.8,3.6,5,8.8,4,1.6,4.4
156,13,12,12,13.8,9.8,11.6,6,7.4,8,8.2,4.2,6.4,3.2,7.6,5.6,4,3.8,9.6,3.4,2.8,4
157,12,14.9,11.4,11.2,11.2,10.2,6.2,7.2,8.9,7.2,3.6,8,4.2,7.2,4.8,6,4.2,7.6,3.2,2,3
158,13.3,14,12.8,13.8,12.2,11.3,7,8.7,6.8,9,4,7.4,4.6,7.3,4.6,7.2,3.8,9.8,4.8,2.4,4
159,11,9.6,13.1,12.4,11,11.7,6.1,8.2,6.8,8.8,2.6,7.4,4.2,8.2,2.8,2.8,4.3,9.8,3.6,1.9,3.5
160,11.4,10.8,11.4,14.8,10.49,7,8,8.8,5.2,8.6,3,7.69,5.2,7,2.6,5.6,2.8,11.8,2.8,2.8,0
161,11.6,10.8,14.8,11.6,12,14.8,6.2,7.6,6.2,10.4,3.6,8.8,4.6,10.8,4,4.6,4.4,8,3.2,1.6,4
162,11.2,6.7,11.6,9.6,12.4,13.4,6.2,7.8,3.5,7.4,4.2,8,3.8,6.4,3.4,3.2,4.2,5.4,4.4,2.4,7
163,12,8.2,10.8,11.4,13.2,10.2,5.6,7.2,5.2,6.8,3.2,9,3.4,6,4.8,3,4,8.2,4.2,2.2,4.2
164,13.6,8,11,12.6,12,10.4,7,8.6,5,7.8,4.6,8,3.4,7,5,3,3.2,8,4,3.6,3.4
165,12.5,7.4,9.8,12.2,13.2,9.2,6.2,7.7,5,6.8,3.4,9,3.8,9.2,4.8,2.4,3,8.8,4.2,2.4,0
166,14.8,6,11.2,8.4,11.2,11.8,5.9,10.6,4.4,7.7,1.2,7.4,3.5,7.6,4.2,1.6,3.5,7.2,3.8,2.4,4.2
167,10.8,6.2,11.2,11.4,15.2,13.2,5.4,8.6,4.2,7,4,12,3.4,9.2,2.2,2,4.2,7.4,3.2,2,4
168,12.2,6.6,13,12.6,12.3,12.4,7.4,9,4.4,9.6,5,9.1,5,8.6,3.2,2.2,3.4,7.6,3.2,2.4,3.8
169,10.2,7.6,10.2,12,13.4,10.8,5.2,5.8,5.2,7.2,4.4,9,3.6,7,4.4,2.4,3,7.6,4.4,1.6,3.8
170,12.4,6.4,13,11.8,14.2,13.4,6.6,8.8,4.2,10,3,11,5,9,3.6,2.2,3,8.8,3.2,1.6,4.4
171,12.8,7.2,10.4,13.1,13.4,10.4,3.8,8.6,4.8,7.2,4,9.4,2.4,7,4.2,2.4,3.2,9.1,4,1.4,3.4
172,12.2,6.6,11.4,15.1,12,11,5.8,7.8,4.4,7.2,3.5,8.2,4,8,4.4,2.2,4.2,11.6,3.8,1.8,3
173,11.4,7,9.9,12.2,11.3,11.5,6.6,7.2,4.6,6.8,3,7.8,4.5,8.3,4.2,2.4,3.1,9.2,3.5,2.1,3.2
174,12.2,7.6,9.6,14,11.8,11.2,5.6,9,5.2,6.8,3,8.8,3.2,7.8,3.2,2.4,2.8,11,3,2.4,3.4
